City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,caleta de carquin,-11.0925,-77.6267,24.76,80,76,4.15,PE,1707874358
128,natchitoches,31.7668,-93.1335,8.47,76,0,0.0,US,1707874396
129,pagar alam,-4.0167,103.2667,23.04,93,96,0.4,ID,1707874356
130,tsaratanana,-16.7833,47.65,23.54,94,100,1.65,MG,1707874396
131,gore,-46.1028,168.9436,26.3,30,0,5.01,NZ,1707874396
132,vadso,70.0744,29.7487,-11.91,72,40,11.83,NO,1707874092
133,montecanal,41.6297,-0.9387,14.17,78,0,0.51,ES,1707874396
134,bredasdorp,-34.5322,20.0403,17.26,89,19,2.1,ZA,1707874063
135,ribeira grande,38.5167,-28.7,15.99,72,0,9.83,PT,1707874069
136,labasa,-16.4167,179.3833,29.62,79,89,2.49,FJ,1707874397
137,san patricio,28.017,-97.5169,16.92,53,100,4.46,US,1707874078
138,haeju,38.0406,125.7147,7.34,94,100,2.33,KP,1707874397
139,vorkuta,67.5,64.0,-30.99,99,6,2.81,RU,1707874086
140,asau,46.4333,26.4,3.51,97,100,1.47,RO,1707874131
141,pacocha,-17.5833,-71.3333,22.54,83,98,1.17,PE,1707874397
142,sinabang,2.4803,96.3801,28.06,74,60,0.72,ID,1707874068
143,karratha,-20.7377,116.8463,28.67,71,74,3.72,AU,1707874094
144,kholmsk,47.0511,142.0569,-3.99,86,100,7.1,RU,1707874397
145,anadyr,64.75,177.4833,-25.56,75,75,5.0,RU,1707874064
146,harstad,68.799,16.5293,-1.58,64,96,5.17,NO,1707874358
147,brigantine,39.4101,-74.3646,3.34,78,0,3.6,US,1707874101
148,papao,-17.75,-149.55,27.82,85,100,14.67,PF,1707874102
149,rikaze,29.25,88.8833,-2.96,49,40,0.76,CN,1707874102
150,uturoa,-16.7333,-151.4333,27.24,82,100,12.36,PF,1707874091
151,sanctuary point,-35.1114,150.629,22.21,85,100,6.19,AU,1707874370
152,tangalle,6.024,80.7911,25.09,86,100,4.64,LK,1707874077
153,iskateley,67.6803,53.1512,-29.43,98,6,3.58,RU,1707874075
154,manokwari,-0.8667,134.0833,27.99,69,100,3.14,ID,1707874072
155,south molton,51.0167,-3.8333,12.69,95,100,5.88,GB,1707874397
156,chonchi,-42.6128,-73.8092,15.56,67,1,1.23,CL,1707874073
157,yefremov,53.1481,38.0992,-5.38,95,100,5.45,RU,1707874397
158,la ronge,55.1001,-105.2842,-11.86,72,75,6.17,CA,1707874160
159,yoro,15.1333,-87.1333,20.09,97,70,1.54,HN,1707874398
160,northam,51.0333,-4.2167,12.36,98,100,8.03,GB,1707874063
161,walvis bay,-22.9575,14.5053,17.53,88,12,3.09,NA,1707874068
162,saldanha,-33.0117,17.9442,16.03,92,100,4.0,ZA,1707874071
163,lihue,21.9789,-159.3672,25.77,72,0,8.23,US,1707874065
164,pyapon,16.2833,95.6833,26.19,40,2,1.57,MM,1707874398
165,ati,13.2154,18.3353,20.63,12,0,3.67,TD,1707874250
166,licheng,23.2955,113.8284,21.57,66,3,2.0,CN,1707874398
167,vila franca do campo,37.7167,-25.4333,14.23,95,100,4.21,PT,1707874064
